"","X","interview__key","country","crop","lines_developed","varieties_developed","area","yield","yield_control","productivity_increase","agro_trait_.Disease.resistance","agro_trait_.Drought.tolerance","agro_trait_.Even..pod.maturity","agro_trait_.Herbicide.tolerance","agro_trait_.Iron.toxicity.tolerance","agro_trait_.Lodging.resistance","agro_trait_.Maturity.period.Duration","agro_trait_.Nutrient.use.efficiency","agro_trait_.Plant.Height","agro_trait_.Salt.tolerance","agro_trait_.Submergence.tolerance","agro_trait_.Tillering.capacity.ability","agro_trait_.Water.use.efficient","agro_trait_.Water.saving.capacity","agro_trait_.Weed.competitivenes","agro_trait_.Yield","agro_trait_.NA","qual_trait_Gluten.free","qual_trait_Grain.size","qual_trait_Grain.shape","qual_trait_Grain.color","qual_trait_Milling.quality","qual_trait_Eating.quality","qual_trait_High.mineral.content","qual_trait_High.oil.content","qual_trait_High.seed.protein.content","qual_trait_NA","price_filter","increase_price","mkt_price_localCurrency","mkt_price_USD","confirm_mktPrice","additional_benefits","which_additional_benefits","env_trait_Reduction.of.pesticide.use","env_trait_Reduction.of.chemical.fertilizer","env_trait_Increase.of.water.efficiency","env_trait_Increase.soil.fertility","env_trait_None","reduction_pesticide","reduction_fertilizer","increase_water","increase_soil","lon","lat"
"14",14,"37-56-33-00","Bangladesh","Sugarcane",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,90,24
"15",15,"57-00-52-79","China","Wheat",5000,42,8000000,6.5,5,33740000,"Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No",1,0.01,2400,336,1,2,"","Yes","Yes","Yes","No","No",0.3,0.15,0.25,NA,105,35
"16",16,"03-83-22-28","Mongolia","Barley",4,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,105,46
"17",17,"03-83-22-28","Mongolia","Rice",1,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,105,46
"18",18,"03-83-22-28","Mongolia","Wheat",15,3,12000,1.6,1,120000,"No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No",1,0.07,550000,200,1,1,"wheat flour milling quality improved.","No","No","No","No","Yes",NA,NA,NA,NA,105,46
"19",19,"76-63-09-11","Myanmar","Mungbean",9,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,98,22
"20",20,"76-63-09-11","Myanmar","Rice",26,5,100000,4.5,3,10,"Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No",2,NA,1500000,1035,1,2,"","No","Yes","No","No","No",NA,0.35,NA,NA,98,22
"21",21,"76-63-09-11","Myanmar","Sesame",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,98,22
"22",22,"58-14-92-91","Indonesia","Rice",200,25,1050000,7.5,5,2625000,"Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No",1,0.1,10000000,730,1,1,"GOOD COOKING QUALITY","Yes","Yes","Yes","Yes","No",0.15,0.1,0.1,0.1,114.252,-0.976
"23",23,"58-14-92-91","Indonesia","Sorghum",100,3,120000,6.1,4,240000,"No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No",1,0.15,5000000,365,1,1,"GLUTEN FREE AND LOW GLYCAEMIC INDEX AS HEALTHY FOOD","Yes","Yes","Yes","Yes","No",0.15,0.15,0.15,0.2,114.252,-0.976
"24",24,"58-14-92-91","Indonesia","Soybean",150,12,800000,2.4,1,1120000,"Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No",1,0.1,5990000,437,1,1,"BIGGER GRAIN SIZE, GOOD FOR TEMPE INDUSTRY","Yes","Yes","Yes","Yes","No",0.1,0.15,0.1,0.2,114.252,-0.976
"25",25,"90-72-57-13","Thailand","Mungbean",40,4,1700000,1,1,90000,"Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No",1,0.05,18000,2665,1,2,"","No","No","No","Yes","No",NA,NA,NA,0.01,100.844,15.7
"26",26,"90-72-57-13","Thailand","Soybean",60,5,960000,1.7,1,300,"Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No",1,0.05,17000,2517,1,2,"","No","No","No","Yes","No",NA,NA,NA,0.01,100.844,15.7
"27",27,"13-65-83-98","Sri Lanka","Bean",16,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,81,7
"28",28,"13-65-83-98","Sri Lanka","Mungbean",1,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,81,7
"29",29,"13-65-83-98","Sri Lanka","Tomato",2,1,35,35,30,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",1,0.15,115000,633,1,1,"The key attribute of this mutant variety is its easily identifiable pear shape (mutant trait) and resistance to Bacterial Wilt.  This mutant variety is preferred by the hotel industry due to its distinct shape.  However, owing to the very specific demand of this variety, present extents of cultivation has been limited.","Yes","No","No","No","No",0.05,NA,NA,NA,81,7
"30",30,"90-40-88-12","Cambodia","Banana",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,105,13
"31",31,"90-40-88-12","Cambodia","Maize",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,105,13
"32",32,"90-40-88-12","Cambodia","Rice",1,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,105,13
"33",33,"40-27-52-61","India","Blackgram",15,2,600000,1.5,1,300000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,79.619,22.881
"34",34,"40-27-52-61","India","Groundnut",20,2,10000,3,2,10000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,79.619,22.881
"35",35,"40-27-52-61","India","Mungbean",30,3,400000,1.5,1,200000,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,79.619,22.881
"36",36,"56-60-82-41","Vietnam","Rice",150,30,2234530,6.5,6,70000,"Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No",1,0.4,10000000,430,1,1,"Mutant variety with higher iron content is better for health","Yes","No","No","No","No",0.2,NA,NA,NA,105.314,21.491
"37",37,"56-60-82-41","Vietnam","Soybean",100,6,156000,2,2,3800,"Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No",1,0.1,18000000,774,1,1,"Soymilk","Yes","Yes","Yes","Yes","No",0.15,0.2,0.1,0.1,105.314,21.491
"38",38,"79-70-59-65","Palau","Banana",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,134.5,7.5
"39",39,"79-70-59-65","Palau","Groundnut",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,134.5,7.5
"40",40,"79-70-59-65","Palau","Pineapple",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,134.5,7.5
"41",41,"16-77-23-94","Malaysia","Banana",3,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,112.5,2.5
"42",42,"16-77-23-94","Malaysia","Pineapple",3,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,112.5,2.5
"43",43,"16-77-23-94","Malaysia","Rice",10,1,200,10,5,6000,"Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No",1,0.15,1200,292,1,2,"","Yes","Yes","Yes","No","No",0.05,0.15,0.1,NA,112.5,2.5
"44",44,"95-49-93-34","Australia","Barley",80,1,1000000,2.1,2,1500000,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",2,NA,380,255,1,2,"","Yes","No","No","No","No",0.15,NA,NA,NA,133,-27
"45",45,"95-49-93-34","Australia","Lupin",8,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,133,-27
"46",46,"95-49-93-34","Australia","Oat",12,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,133,-27
"47",47,"95-49-93-34","Australia","Wheat",50,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,133,-27
"48",48,"03-67-88-92","Philippines","Adlai",1,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,122,13
"49",49,"03-67-88-92","Philippines","Banana",4,1,100,40,30,10,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes",2,NA,30290,597,1,1,"suckers can be used as planting materials so purchase of tissue cultured plants is lessened","Yes","No","No","No","No",0.85,NA,NA,NA,122,13
"50",50,"03-67-88-92","Philippines","Rice",29,6,146,3,3,0,"Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No",2,NA,16260,320,1,2,"","Yes","No","No","No","No",0.5,NA,NA,NA,122,13
"51",51,"03-67-88-92","Philippines","Sugarcane",0,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,122,13
"52",52,"73-21-33-61","South Korea","Bean",200,3,50,2,2,2,"No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No",2,NA,10000000,8440,NA,1,"##N/A##","No","No","No","Yes","No",NA,NA,NA,0.05,128.103,36.504
"53",53,"73-21-33-61","South Korea","Oat",50,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,128.103,36.504
"54",54,"73-21-33-61","South Korea","Rice",400,4,10000,5,4.75,10,"No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No",1,0.1,300000,253,1,1,"##N/A##","","","","","",NA,NA,NA,NA,128.103,36.504
"55",55,"73-21-33-61","South Korea","Sorghum",50,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,128.103,36.504
"56",56,"73-21-33-61","South Korea","Wheat",100,0,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,128.103,36.504
